text,sentiment
"Do redakce jsme dostali predprodukcni kus ultratenkeho 14'' notebooku Acer Swift 5, diky kteremu bylo mozne otestovat nejnovejsi pocin v ramci procesoru od Intelu. Pod tlakem nedavnych vlastnich neuspechu a nyni take silnejsi konkurence se musi Intel snazit, aby neprisel o sve dominantni postaveni na trhu. Nove procesory zvysuji TDP, vyrazne rozsiruji integrovane graficke jadro a nabizi vysoke frekvence.",1
Prvni Test 11. generace procesoru Intel Core - Acer Swift 5 (SF514-55T),1
"14'' Swift 5 se dockal nekolika uprav oproti predchozi generaci. Krome toho, ze ma nyni nove procesory, doslo take ke zmenam sasi. Zakladna nyni pusobi pevneji nez predtim a mnohem lepe se brani krouceni. Diky tomuto kroku by mely byt pri manipulaci mene namahany vnitrni komponenty. Leskly displej s tenkou dotykovou vrstvou snizuje hmotnost a umoznuje viku byt tencim, coz pochopitelne prinasi vyssi poddajnost pri krouceni, oproti notebookum s tlustsim a tezsim dotykovym sklem, urcenym i pro praci se stylusem. Extremne nizka hmotnost celeho notebooku, pouhy 1 kg, zde s sebou stale nese urcite vyssi naroky na ohleduplnost pri pouzivani, bezna vlastnost velmi tenkych a lehkych notebooku.",1
"Klavesnice zustala stejne pohodlna jako v predchozi generaci. Ma necekane uspokojivy tlumeny zvuk pri psani a mechanika je z meho pohledu velmi presna. Je to jedna z tech klavesnic, na ktere je radost psat i delsi texty (odzkouseno).",1
"Konstrukce notebooku, kdy spodni hrana vika dokaze po otevreni mirne zvednout zadni cast zakladny pocitace, je velmi vyhodna pro novou generaci procesoru, ktera v zatezi pracuje s vetsim TDP (thermal design power). Pri bezne kancelarske zatezi je notebook obvykle uplne zticha a chlazenim na sebe nijak neupozornuje. Jine je to pochopitelne v zatezi, kdy uz ventilator fouka rychle. Potesujici vsak je, ze zvuk chlazeni je v zatezi spise neutralni a bez piskani. V tiche mistnosti pocitac nepreslechnete, ale v beznem kancelarskem ruchu se mozna jeho hluk ztrati. Chlazeni tedy povazuji za velmi povedene.",1
"Pokud jde o spotrebu - v zatezi je vyssi vykon vykoupen vyssi spotrebou a s tim souvisejici nizsi vydrzi na baterii. Pokud vsak mluvime o beznem pouziti na web a on-line kancelarskou praci, zda se byt nova generace podobne usporna jako ta stara (podrobnejsi testy radeji provedeme az na finalnich kusech).",1
"Levnejsi monitory uz davno nejsou jen o FullHD rozliseni a preferovani jiste znacky. Pokud se rozhodnete, ze chcete levny monitor na hrani, mate dnes siroky vyber. Parametry, jako jemne rozliseni, polohovatelnost, vysokou obnovovaci frekvenci a kratkou dobu odezvy, lze najit i v nizsi tride. Pri spravnem vyberu nemusite narazit ani na povestne ,,ale. Konkurence je ovsem velika a hernich monitoru okolo peti tisic naleznete hodne. Na recenzi nam tu pristal model od Asusu. Oznaceni VG249Q predjima 24palcovou obrazovku a nalepka 144Hz jiste zaujme hlavne milovniky kompetitivnich titulu. Jak tedy monitor z rodiny TUF obstal a cim se vyznacuje?",1
Za par minut pripraven do akce,1
"Cele baleni vymyslel vyrobce svym zpusobem chytre. Monitor je jiz z velke casti smontovany, obrazovka pripevnena k noze a staci tak nasadit samotny podstavec, na kterem bude stat. Jedna se o jeden sroub, jenz jde utahnout rukou. Zadne naradi nepotrebujete. Zapojeni monitoru zabere vylozene jen par minut, a to i pres skutecnost, ze se vsechny porty nachazeji v zadni strane smerem dolu. Dosahnout na ne nepredstavuje problem prave diky moznosti otocit obrazovku o 90deg, kdy konektory smeruji primo na vas. Vice o polohovatelnosti pozdeji.",1
"V baleni krome samotneho monitoru naleznete i HDMI a napajeci kabel. Mimo HDMI lze k pripojeni k PC vyuzit i DisplayPort a starsi D-Sub. Audio stranku doplnuje vystup na sluchatka i vestavene reproduktory. Ty hraji vzhledem k cenovce prumerne. Na nenarocny film, ci serial postaci. Pokud jste narocnejsi na herni zvuk, rozhodne ponechte na hlave sluchatka.",1
Kompetitivni hry pri 144Hz,1
